route_id,type,stopsNumber
100,Bus,109
101,Bus,50
102,Bus,31
103,Bus,45
104,Bus,41
106,Bus,56
107,Bus,61
108,Bus,52
109,Bus,29
110,Bus,34
118,Bus,38
124,Bus,32
134,Bus,33
209,Bus,33
210,Bus,46
212,Bus,51
224,Bus,69
224P,Bus,82
226,Bus,38
230,Bus,87
231,Bus,67
234,Bus,70
237,Bus,24
241,Bus,43
243,Bus,51
246,Bus,23
304,Bus,27
307,Bus,71
309,Bus,59
327,Bus,32
364,Bus,40
380,Bus,40
389,Bus,57
422,Bus,54
442,Bus,35
462,Bus,55
513,Bus,46
529,Bus,34
534,Bus,61
544,Bus,77
603,Bus,104
606,Bus,45
614,Bus,86
616,Bus,81
619,Bus,55
625,Bus,54
628,Bus,81
628P,Bus,86
645,Bus,68
675,Bus,20
704,Bus,49
721,Bus,31
731,Bus,49
806,Bus,50
812,Bus,54
84,Bus,25
85,Bus,39
87,Bus,44
88,Bus,26
ARANC,Bus,31
EXPR,Bus,2
H2,Bus,87
N11_merged_80001,Bus,141
N11_merged_80002,Bus,141
N12,Bus,210
N21,Bus,82
TRAM1,"Tram, Streetcar, Light rail",29
TRAM2,"Tram, Streetcar, Light rail",25
TRAM3,"Tram, Streetcar, Light rail",22
TRAM4,"Tram, Streetcar, Light rail",21
