stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id
38.176255,1,345,13.32601833,Europe/Rome,,,,CASTELFORTE - GIARDINO DELLA CONCORDIA,0,345,1
38.18595986,1,347,13.32358494,Europe/Rome,,,,CASTELFORTE - P.M. 64,0,347,1
38.17783833,1,340,13.32547224,Europe/Rome,,,,CASTELFORTE - BELLINZONA,0,340,1
38.19512906,1,342,13.31551149,Europe/Rome,,,,CASTELFORTE - CHIRONE,0,342,1
38.18095789,1,343,13.32512721,Europe/Rome,,,,CASTELFORTE - DE FONSECA,0,343,1
38.17456833,1,349,13.32646167,Europe/Rome,,,,CASTELFORTE - TRAPANI,0,349,1
38.09881956,1,298,13.31963141,Europe/Rome,,,,CALATAFIMI - RISERVA REALE,0,298,1
38.09448191,1,299,13.30929151,Europe/Rome,,,,CALATAFIMI - ROCCA,0,299,1
38.10710667,1,296,13.34017333,Europe/Rome,,,,CALATAFIMI - RAGUSA MOLETI,0,296,1
38.10266315,1,297,13.3291452,Europe/Rome,,,,CALATAFIMI - REGIONE SICILIANA,0,297,1
38.111615,1,294,13.3515,Europe/Rome,,,,CALATAFIMI - PORTA NUOVA,0,294,1
38.10664801,1,295,13.33917797,Europe/Rome,,,,CALATAFIMI - RAGUSA MOLETI,0,295,1
38.10748378,1,292,13.34125936,Europe/Rome,,,,CALATAFIMI - PINDEMONTE,0,292,1
38.10776,1,293,13.34185167,Europe/Rome,,,,CALATAFIMI - PINDEMONTE,0,293,1
38.10025663,1,290,13.32346511,Europe/Rome,,,,CALATAFIMI - PIETRATAGLIATA,0,290,1
38.10016621,1,291,13.3229949,Europe/Rome,,,,CALATAFIMI - PIETRATAGLIATA,0,291,1
38.10817968,1,270,13.34300855,Europe/Rome,,,,CALATAFIMI - CASERMA TUKORY,0,270,1
38.10848667,1,271,13.34362,Europe/Rome,,,,CALATAFIMI - CASERMA TUKORY,0,271,1
38.09935991,1,272,13.3210047,Europe/Rome,,,,CALATAFIMI - CHINNICI,0,272,1
